E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,0.0000000e+00,0.0000000e+00
3.0000001e-01,0.0000000e+00,0.0000000e+00
3.6170539e-01,0.0000000e+00,0.0000000e+00
4.2700922e-01,0.0000000e+00,0.0000000e+00
5.0410324e-01,0.0000000e+00,0.0000000e+00
5.9511620e-01,9.1167696e-09,1.1787070e-02
7.0256096e-01,1.2996200e-07,4.2409648e-02
8.2940429e-01,1.8516000e-04,8.3724606e-01
1.0000000e+00,3.0084101e-03,9.8624478e-01
1.1318250e+00,7.6871701e-03,9.9421219e-01
1.3361694e+00,2.2511400e-02,9.9784273e-01
1.5774070e+00,9.5246203e-02,9.9944502e-01
1.8621986e+00,1.7134599e-01,9.9966485e-01
2.1984079e+00,2.2982700e-01,9.9972862e-01
2.5953176e+00,2.8032899e-01,9.9975839e-01
3.0000000e+00,3.1658000e-01,9.9977011e-01
3.6170540e+00,3.4825900e-01,9.9977074e-01
4.2700920e+00,3.5813400e-01,9.9975801e-01
5.0410328e+00,3.4915099e-01,9.9973062e-01
5.9511619e+00,3.2271999e-01,9.9968377e-01
7.0256095e+00,2.8301799e-01,9.9960886e-01
8.2940426e+00,2.3591600e-01,9.9949117e-01
1.0000000e+01,1.8147600e-01,9.9927567e-01
1.1318249e+01,1.4791800e-01,9.9905665e-01
1.3361693e+01,1.0864400e-01,9.9860939e-01
1.5774070e+01,7.7074997e-02,9.9787956e-01
1.8621986e+01,5.3164799e-02,9.9667866e-01
2.1984077e+01,3.5957798e-02,9.9470352e-01
2.5953175e+01,2.4049200e-02,9.9147999e-01
3.0000000e+01,1.6849101e-02,9.8707530e-01
3.5416325e+01,1.1180600e-02,9.7921677e-01
4.1810539e+01,7.4170101e-03,9.6682423e-01
4.9359188e+01,4.5424202e-03,9.4360892e-01
5.8270699e+01,2.7728300e-03,9.0611257e-01
6.8791138e+01,1.7976400e-03,8.5637255e-01
8.1210976e+01,1.2108700e-03,7.9462241e-01
1.0000000e+02,7.5805100e-04,7.0224387e-01
1.1318250e+02,5.8005902e-04,6.4268457e-01
1.3361693e+02,4.0871100e-04,5.6190941e-01
1.5774069e+02,2.9016199e-04,4.8449568e-01
1.8621985e+02,2.0715799e-04,4.1379752e-01
2.1984077e+02,1.4827400e-04,3.5112249e-01
2.5953177e+02,1.0618600e-04,2.9663464e-01
3.0000000e+02,7.9552803e-05,2.5576714e-01
3.6170541e+02,5.4747401e-05,2.1079044e-01
4.2700922e+02,3.9273400e-05,1.7738324e-01
5.0410324e+02,2.8112099e-05,1.4911033e-01
5.9511621e+02,2.0095500e-05,1.2530122e-01
7.0256097e+02,1.4347000e-05,1.0528689e-01
8.2940424e+02,1.0199600e-05,8.8345508e-02
1.0000000e+03,6.9456701e-06,7.2568307e-02
1.1559279e+03,5.1487800e-06,6.2296283e-02
1.3646240e+03,3.6646800e-06,5.2410522e-02
1.6109990e+03,2.6060000e-06,4.4099912e-02
1.9018555e+03,1.8600700e-06,3.7194435e-02
2.2452244e+03,1.3336499e-06,3.1453880e-02
2.6505867e+03,9.5639700e-07,2.6611007e-02
3.0000000e+03,7.5101599e-07,2.3568292e-02
3.6940818e+03,4.9845801e-07,1.9187932e-02
4.3610269e+03,3.6203301e-07,1.6346078e-02
5.1483853e+03,2.6321300e-07,1.3933016e-02
6.0778960e+03,1.9111900e-07,1.1868508e-02
7.1752246e+03,1.3924800e-07,1.0126626e-02
8.4706699e+03,1.0134500e-07,8.6346147e-03
1.0000000e+04,7.3178398e-08,7.3317739e-03
