E,<Daa>,Prec_Ratio
9.9999994e-02,0.0000000e+00,0.0000000e+00
1.1318249e-01,0.0000000e+00,0.0000000e+00
1.3361694e-01,0.0000000e+00,0.0000000e+00
1.5774070e-01,0.0000000e+00,0.0000000e+00
1.8621986e-01,0.0000000e+00,0.0000000e+00
2.1984078e-01,0.0000000e+00,0.0000000e+00
2.5953174e-01,9.3493902e-04,9.7769024e-01
3.0000001e-01,2.8729200e-02,9.9919635e-01
3.6170539e-01,1.6753399e-01,9.9984856e-01
4.2700922e-01,4.5435101e-01,9.9993933e-01
5.0410324e-01,6.9010401e-01,9.9995660e-01
5.9511620e-01,7.6649600e-01,9.9995755e-01
7.0256096e-01,7.5359601e-01,9.9995310e-01
8.2940429e-01,7.5758302e-01,9.9994932e-01
1.0000000e+00,7.3911899e-01,9.9994297e-01
1.1318250e+00,7.2353202e-01,9.9993803e-01
1.3361694e+00,7.0688599e-01,9.9993111e-01
1.5774070e+00,6.8668401e-01,9.9992297e-01
1.8621986e+00,6.6718298e-01,9.9991390e-01
2.1984079e+00,6.4958203e-01,9.9990396e-01
2.5953176e+00,6.3543499e-01,9.9989339e-01
3.0000000e+00,6.4329302e-01,9.9988685e-01
3.6170540e+00,6.3744199e-01,9.9987473e-01
4.2700920e+00,6.0939902e-01,9.9985777e-01
5.0410328e+00,5.6669301e-01,9.9983400e-01
5.9511619e+00,5.1835698e-01,9.9980309e-01
7.0256095e+00,4.6420401e-01,9.9976148e-01
8.2940426e+00,4.0627801e-01,9.9970445e-01
1.0000000e+01,3.4736800e-01,9.9962141e-01
1.1318249e+01,3.0440700e-01,9.9954131e-01
1.3361693e+01,2.5209999e-01,9.9940008e-01
1.5774070e+01,2.0578000e-01,9.9920438e-01
1.8621986e+01,1.6512100e-01,9.9892739e-01
2.1984077e+01,1.3063499e-01,9.9853462e-01
2.5953175e+01,1.0334100e-01,9.9799982e-01
3.0000000e+01,8.2328901e-02,9.9731815e-01
3.5416325e+01,6.3973099e-02,9.9628279e-01
4.1810539e+01,4.9584299e-02,9.9484380e-01
4.9359188e+01,3.8327400e-02,9.9284377e-01
5.8270699e+01,2.9389201e-02,9.9001524e-01
6.8791138e+01,2.2336600e-02,9.8599327e-01
8.1210976e+01,1.6951200e-02,9.8040510e-01
1.0000000e+02,1.1966100e-02,9.7030707e-01
1.1318250e+02,9.7029200e-03,9.6207861e-01
1.3361693e+02,7.3084799e-03,9.4763711e-01
1.5774069e+02,5.4893699e-03,9.2826327e-01
1.8621985e+02,4.1173999e-03,9.0287628e-01
2.1984077e+02,3.0692399e-03,8.6990983e-01
2.5953177e+02,2.2739200e-03,8.2829619e-01
3.0000000e+02,1.7513700e-03,7.8542043e-01
3.6170541e+02,1.2349400e-03,7.1979998e-01
4.2700922e+02,9.0023299e-04,6.5448601e-01
5.0410324e+02,6.5690302e-04,5.8676905e-01
5.9511621e+02,4.7641201e-04,5.1847678e-01
7.0256097e+02,3.4395899e-04,4.5278981e-01
8.2940424e+02,2.4663200e-04,3.9137879e-01
1.0000000e+03,1.7011500e-04,3.3053510e-01
1.1559279e+03,1.2720699e-04,2.8873572e-01
1.3646240e+03,9.1548100e-05,2.4720835e-01
1.6109990e+03,6.6173699e-05,2.1173012e-01
1.9018555e+03,4.7711401e-05,1.8090882e-01
2.2452244e+03,3.4480101e-05,1.5459911e-01
2.6505867e+03,2.4994901e-05,1.3221371e-01
3.0000000e+03,1.9729599e-05,1.1780252e-01
3.6940818e+03,1.3273300e-05,9.7030192e-02
4.3610269e+03,9.6512404e-06,8.2979617e-02
5.1483853e+03,7.0322899e-06,7.1010399e-02
6.0778960e+03,5.1227598e-06,6.0740903e-02
7.1752246e+03,3.7237701e-06,5.1887011e-02
8.4706699e+03,2.7049300e-06,4.4296803e-02
1.0000000e+04,1.9602501e-06,3.7764259e-02
